county,n_enrolled,n_testtaker,n_ebrw_pass,n_math_pass,n_both,pct_ebrw_pass,pct_math_pass,pct_both_pass,population,med_income,latitude,longitude
Riverside,101184.0,42210.0,25667.0,15338.0,14375.0,0.608078654347311,0.3633736081497276,0.3405591092158256,2420841.3333333335,36095.333333333336,33.7775741,-115.4706931
Sacramento,57164.0,18270.0,12351.0,8807.0,8311.0,0.6760262725779967,0.4820470717022441,0.45489874110563766,1540104.3333333333,41833.0,38.1923781,-121.6020643
San Benito,2586.0,678.0,510.0,345.0,321.0,0.7522123893805309,0.5088495575221239,0.47345132743362833,61505.666666666664,45827.666666666664,36.50024907,-121.0915105
San Bernardino,93044.0,31626.0,20986.0,13079.0,12226.0,0.6635679504205401,0.4135521406437741,0.3865806614810599,2175537.6666666665,34593.666666666664,34.52258599,-115.5372574
San Diego,123777.0,38608.0,30075.0,22284.0,21340.0,0.7789836303356817,0.5771860754247824,0.5527351844177373,3338990.0,43157.0,32.78964014,-117.1936577
San Francisco,13280.0,6768.0,4731.0,4136.0,3740.0,0.6990248226950354,0.6111111111111112,0.5526004728132388,889154.6666666666,67692.66666666667,37.7577,-122.4376
San Joaquin,34374.0,10053.0,7002.0,4533.0,4239.0,0.6965085049239033,0.4509101760668457,0.42166517457475383,762062.6666666666,38428.666666666664,37.933703,-121.3444014
San Luis Obispo,8273.0,1890.0,1631.0,1211.0,1187.0,0.8629629629629629,0.6407407407407407,0.6280423280423281,278050.6666666667,46016.0,35.27435015,-120.6124974
San Mateo,21297.0,9325.0,7192.0,5809.0,5547.0,0.7712600536193029,0.6229490616621984,0.59485254691689,773868.0,67115.33333333333,37.43944139,-122.3344603
Santa Barbara,15585.0,3633.0,2907.0,2250.0,2169.0,0.8001651527663088,0.6193228736581338,0.597027250206441,451473.3333333333,40519.666666666664,34.42119106,-119.6988197
Santa Clara,64101.0,20760.0,17206.0,14376.0,13848.0,0.8288053949903661,0.692485549132948,0.6670520231213873,1954702.6666666667,67221.0,37.23423826,-121.7317226
Santa Cruz,9223.0,2592.0,1924.0,1440.0,1384.0,0.7422839506172839,0.5555555555555556,0.5339506172839507,273698.0,44206.0,37.02159755,-121.9471295
Shasta,6386.0,1158.0,937.0,730.0,703.0,0.809153713298791,0.6303972366148531,0.6070811744386874,178057.0,36003.666666666664,40.53502155,-122.5021643
Sierra,67.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3134.0,39670.666666666664,39.56316056,-120.7739513
Siskiyou,1358.0,327.0,215.0,153.0,144.0,0.6574923547400612,0.46788990825688076,0.44036697247706424,44053.333333333336,32050.666666666668,41.40245364,-123.1750119
Solano,14124.0,4230.0,3186.0,2183.0,2057.0,0.7531914893617021,0.5160756501182033,0.4862884160756501,439202.3333333333,47294.666666666664,38.17681839,-122.0352986
Sonoma,16074.0,3972.0,3198.0,2304.0,2226.0,0.8051359516616314,0.5800604229607251,0.5604229607250756,498422.3333333333,48300.666666666664,38.49367199,-122.9302632
Stanislaus,26092.0,7119.0,4786.0,2898.0,2698.0,0.6722854333473802,0.40707964601769914,0.3789858126141312,553692.0,36409.333333333336,37.50148783,-121.2164803
State of California,489650.0,170411.0,116500.0,81551.0,77178.0,0.6836413142344098,0.47855478812987423,0.45289329914148735,,,,
Sutter,5266.0,1077.0,822.0,539.0,535.0,0.7632311977715878,0.500464252553389,0.49675023212627667,100279.66666666667,35160.0,39.01131111,-121.7233341
Tehama,1960.0,273.0,187.0,149.0,146.0,0.684981684981685,0.5457875457875457,0.5347985347985348,64792.0,32182.333333333332,40.25506437,-122.2937715
Trinity,453.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,13376.333333333334,31220.666666666668,40.84092907,-122.972844
Tulare,21847.0,5403.0,3321.0,1909.0,1758.0,0.614658523042754,0.3533222283916343,0.32537479178234313,476328.3333333333,30138.666666666668,36.28254312,-118.2652098
Tuolumne,1497.0,240.0,182.0,141.0,141.0,0.7583333333333333,0.5875,0.5875,52686.0,38902.0,37.96385957,-119.8920735
Ventura,31719.0,13600.0,8394.0,6170.0,5867.0,0.6172058823529412,0.4536764705882353,0.4313970588235294,850713.0,44129.0,34.27709072,-119.2178496
Yolo,6603.0,2277.0,1756.0,1392.0,1329.0,0.7711901624945103,0.61133069828722,0.5836627140974967,221176.66666666666,43672.333333333336,38.68382688,-121.9127421
Yuba,2707.0,534.0,408.0,261.0,252.0,0.7640449438202247,0.4887640449438202,0.47191011235955055,77760.66666666667,34895.333333333336,39.27129476,-121.3793557
